model_tag,method,tier,family,metric,mean,ci_low,ci_high,n
mistral7b_v03,conflict_audit,tier2_llmbar,instruction_following_vs_surface_quality,PAIRED_RSR,0.0,0.0,0.0,121
mistral7b_v03,context_forward,tier1,citation_vs_informativeness,PAIRED_RETENTION,0.0,0.0,0.0,250
mistral7b_v03,context_forward,tier1,citation_vs_informativeness,PAIRED_POR_C,,,,0
mistral7b_v03,context_forward,tier1,citation_vs_informativeness,PAIRED_HHR,,,,0
mistral7b_v03,context_forward,tier1,citation_vs_informativeness,PAIRED_RSR,,,,0
mistral7b_v03,context_forward,tier1,completeness_vs_concision,PAIRED_RETENTION,0.0,0.0,0.0,250
mistral7b_v03,context_forward,tier1,completeness_vs_concision,PAIRED_POR_C,,,,0
mistral7b_v03,context_forward,tier1,completeness_vs_concision,PAIRED_HHR,,,,0
mistral7b_v03,context_forward,tier1,completeness_vs_concision,PAIRED_RSR,,,,0
mistral7b_v03,context_forward,tier1,correctness_vs_fluency,PAIRED_RETENTION,0.056,0.031900000000000095,0.084,250
mistral7b_v03,context_forward,tier1,correctness_vs_fluency,PAIRED_POR_C,0.5,0.5,0.5,14
mistral7b_v03,context_forward,tier1,correctness_vs_fluency,PAIRED_HHR,1.0,1.0,1.0,14
mistral7b_v03,context_forward,tier1,correctness_vs_fluency,PAIRED_RSR,0.0,0.0,0.0,14
mistral7b_v03,context_forward,tier1,evidence_vs_confidence,PAIRED_RETENTION,0.004,0.0,0.012,250
mistral7b_v03,context_forward,tier1,evidence_vs_confidence,PAIRED_POR_C,0.5,0.5,0.5,1
mistral7b_v03,context_forward,tier1,evidence_vs_confidence,PAIRED_HHR,1.0,1.0,1.0,1
mistral7b_v03,context_forward,tier1,evidence_vs_confidence,PAIRED_RSR,0.0,0.0,0.0,1
mistral7b_v03,context_forward,tier1,safety_vs_helpfulness,PAIRED_RETENTION,1.0,1.0,1.0,250
mistral7b_v03,context_forward,tier1,safety_vs_helpfulness,PAIRED_POR_C,0.5,0.5,0.5,250
mistral7b_v03,context_forward,tier1,safety_vs_helpfulness,PAIRED_HHR,1.0,1.0,1.0,250
mistral7b_v03,context_forward,tier1,safety_vs_helpfulness,PAIRED_RSR,0.0,0.0,0.0,250
mistral7b_v03,context_forward,tier1,substance_vs_format,PAIRED_RETENTION,0.452,0.392,0.516,250
mistral7b_v03,context_forward,tier1,substance_vs_format,PAIRED_POR_C,0.5,0.5,0.5,113
mistral7b_v03,context_forward,tier1,substance_vs_format,PAIRED_HHR,1.0,1.0,1.0,113
mistral7b_v03,context_forward,tier1,substance_vs_format,PAIRED_RSR,0.0,0.0,0.0,113
mistral7b_v03,context_forward,tier2_llmbar,instruction_following_vs_surface_quality,PAIRED_RETENTION,0.33,0.265,0.395,200
mistral7b_v03,context_forward,tier2_llmbar,instruction_following_vs_surface_quality,PAIRED_POR_C,0.5075757575757576,0.5,0.5227272727272727,66
mistral7b_v03,context_forward,tier2_llmbar,instruction_following_vs_surface_quality,PAIRED_HHR,0.9848484848484849,0.9545454545454546,1.0,66
mistral7b_v03,context_forward,tier2_llmbar,instruction_following_vs_surface_quality,PAIRED_RSR,0.015151515151515152,0.0,0.045454545454545456,66
mistral7b_v03,decomposed,tier1,citation_vs_informativeness,PAIRED_RETENTION,0.0,0.0,0.0,250
mistral7b_v03,decomposed,tier1,citation_vs_informativeness,PAIRED_POR_C,,,,0
mistral7b_v03,decomposed,tier1,citation_vs_informativeness,PAIRED_HHR,,,,0
mistral7b_v03,decomposed,tier1,citation_vs_informativeness,PAIRED_RSR,,,,0
mistral7b_v03,decomposed,tier1,completeness_vs_concision,PAIRED_RETENTION,0.0,0.0,0.0,250
mistral7b_v03,decomposed,tier1,completeness_vs_concision,PAIRED_POR_C,,,,0
mistral7b_v03,decomposed,tier1,completeness_vs_concision,PAIRED_HHR,,,,0
mistral7b_v03,decomposed,tier1,completeness_vs_concision,PAIRED_RSR,,,,0
mistral7b_v03,decomposed,tier1,correctness_vs_fluency,PAIRED_RETENTION,0.056,0.031900000000000095,0.084,250
mistral7b_v03,decomposed,tier1,correctness_vs_fluency,PAIRED_POR_C,0.5,0.5,0.5,14
mistral7b_v03,decomposed,tier1,correctness_vs_fluency,PAIRED_HHR,1.0,1.0,1.0,14
mistral7b_v03,decomposed,tier1,correctness_vs_fluency,PAIRED_RSR,0.0,0.0,0.0,14
mistral7b_v03,decomposed,tier1,evidence_vs_confidence,PAIRED_RETENTION,0.004,0.0,0.012,250
mistral7b_v03,decomposed,tier1,evidence_vs_confidence,PAIRED_POR_C,0.5,0.5,0.5,1
mistral7b_v03,decomposed,tier1,evidence_vs_confidence,PAIRED_HHR,1.0,1.0,1.0,1
mistral7b_v03,decomposed,tier1,evidence_vs_confidence,PAIRED_RSR,0.0,0.0,0.0,1
mistral7b_v03,decomposed,tier1,safety_vs_helpfulness,PAIRED_RETENTION,1.0,1.0,1.0,250
mistral7b_v03,decomposed,tier1,safety_vs_helpfulness,PAIRED_POR_C,0.5,0.5,0.5,250
mistral7b_v03,decomposed,tier1,safety_vs_helpfulness,PAIRED_HHR,1.0,1.0,1.0,250
mistral7b_v03,decomposed,tier1,safety_vs_helpfulness,PAIRED_RSR,0.0,0.0,0.0,250
mistral7b_v03,decomposed,tier1,substance_vs_format,PAIRED_RETENTION,0.452,0.392,0.516,250
mistral7b_v03,decomposed,tier1,substance_vs_format,PAIRED_POR_C,0.5,0.5,0.5,113
mistral7b_v03,decomposed,tier1,substance_vs_format,PAIRED_HHR,1.0,1.0,1.0,113
mistral7b_v03,decomposed,tier1,substance_vs_format,PAIRED_RSR,0.0,0.0,0.0,113
mistral7b_v03,decomposed,tier2_llmbar,instruction_following_vs_surface_quality,PAIRED_RETENTION,0.33,0.265,0.395,200
mistral7b_v03,decomposed,tier2_llmbar,instruction_following_vs_surface_quality,PAIRED_POR_C,0.5075757575757576,0.5,0.5227272727272727,66
mistral7b_v03,decomposed,tier2_llmbar,instruction_following_vs_surface_quality,PAIRED_HHR,0.9848484848484849,0.9545454545454546,1.0,66
mistral7b_v03,decomposed,tier2_llmbar,instruction_following_vs_surface_quality,PAIRED_RSR,0.015151515151515152,0.0,0.045454545454545456,66
mistral7b_v03,direct,tier1,citation_vs_informativeness,PAIRED_RETENTION,0.53,0.486,0.572,500
mistral7b_v03,direct,tier1,citation_vs_informativeness,PAIRED_POR_C,0.5,0.5,0.5,265
mistral7b_v03,direct,tier1,citation_vs_informativeness,PAIRED_HHR,1.0,1.0,1.0,265
mistral7b_v03,direct,tier1,citation_vs_informativeness,PAIRED_RSR,0.0,0.0,0.0,265
mistral7b_v03,direct,tier1,completeness_vs_concision,PAIRED_RETENTION,0.016,0.006,0.028,500
mistral7b_v03,direct,tier1,completeness_vs_concision,PAIRED_POR_C,0.5,0.5,0.5,8
mistral7b_v03,direct,tier1,completeness_vs_concision,PAIRED_HHR,1.0,1.0,1.0,8
mistral7b_v03,direct,tier1,completeness_vs_concision,PAIRED_RSR,0.0,0.0,0.0,8
mistral7b_v03,direct,tier1,correctness_vs_fluency,PAIRED_RETENTION,0.286,0.246,0.326,500
mistral7b_v03,direct,tier1,correctness_vs_fluency,PAIRED_POR_C,0.5,0.5,0.5,143
mistral7b_v03,direct,tier1,correctness_vs_fluency,PAIRED_HHR,1.0,1.0,1.0,143
mistral7b_v03,direct,tier1,correctness_vs_fluency,PAIRED_RSR,0.0,0.0,0.0,143
mistral7b_v03,direct,tier1,evidence_vs_confidence,PAIRED_RETENTION,0.004,0.0,0.01,500
mistral7b_v03,direct,tier1,evidence_vs_confidence,PAIRED_POR_C,0.5,0.5,0.5,2
mistral7b_v03,direct,tier1,evidence_vs_confidence,PAIRED_HHR,1.0,1.0,1.0,2
mistral7b_v03,direct,tier1,evidence_vs_confidence,PAIRED_RSR,0.0,0.0,0.0,2
mistral7b_v03,direct,tier1,safety_vs_helpfulness,PAIRED_RETENTION,1.0,1.0,1.0,500
mistral7b_v03,direct,tier1,safety_vs_helpfulness,PAIRED_POR_C,0.5,0.5,0.5,500
mistral7b_v03,direct,tier1,safety_vs_helpfulness,PAIRED_HHR,1.0,1.0,1.0,500
mistral7b_v03,direct,tier1,safety_vs_helpfulness,PAIRED_RSR,0.0,0.0,0.0,500
mistral7b_v03,direct,tier1,substance_vs_format,PAIRED_RETENTION,0.97,0.954,0.984,500
mistral7b_v03,direct,tier1,substance_vs_format,PAIRED_POR_C,0.5,0.5,0.5,485
mistral7b_v03,direct,tier1,substance_vs_format,PAIRED_HHR,1.0,1.0,1.0,485
mistral7b_v03,direct,tier1,substance_vs_format,PAIRED_RSR,0.0,0.0,0.0,485
mistral7b_v03,direct,tier2_llmbar,instruction_following_vs_surface_quality,PAIRED_RETENTION,0.2425,0.2025,0.285,400
mistral7b_v03,direct,tier2_llmbar,instruction_following_vs_surface_quality,PAIRED_POR_C,0.5103092783505154,0.5,0.5257731958762887,97
mistral7b_v03,direct,tier2_llmbar,instruction_following_vs_surface_quality,PAIRED_HHR,0.979381443298969,0.9484536082474226,1.0,97
mistral7b_v03,direct,tier2_llmbar,instruction_following_vs_surface_quality,PAIRED_RSR,0.020618556701030927,0.0,0.05154639175257732,97
mistral7b_v03,locked,tier1,citation_vs_informativeness,PAIRED_RETENTION,0.16,0.128,0.194,500
mistral7b_v03,locked,tier1,citation_vs_informativeness,PAIRED_POR_C,0.5,0.5,0.5,80
mistral7b_v03,locked,tier1,citation_vs_informativeness,PAIRED_HHR,1.0,1.0,1.0,80
mistral7b_v03,locked,tier1,citation_vs_informativeness,PAIRED_RSR,0.0,0.0,0.0,80
mistral7b_v03,locked,tier1,completeness_vs_concision,PAIRED_RETENTION,0.108,0.082,0.136,500
mistral7b_v03,locked,tier1,completeness_vs_concision,PAIRED_POR_C,0.5,0.5,0.5,54
mistral7b_v03,locked,tier1,completeness_vs_concision,PAIRED_HHR,1.0,1.0,1.0,54
mistral7b_v03,locked,tier1,completeness_vs_concision,PAIRED_RSR,0.0,0.0,0.0,54
mistral7b_v03,locked,tier1,correctness_vs_fluency,PAIRED_RETENTION,0.182,0.148,0.216,500
mistral7b_v03,locked,tier1,correctness_vs_fluency,PAIRED_POR_C,0.5,0.5,0.5,91
mistral7b_v03,locked,tier1,correctness_vs_fluency,PAIRED_HHR,1.0,1.0,1.0,91
mistral7b_v03,locked,tier1,correctness_vs_fluency,PAIRED_RSR,0.0,0.0,0.0,91
mistral7b_v03,locked,tier1,evidence_vs_confidence,PAIRED_RETENTION,0.002,0.0,0.006,500
mistral7b_v03,locked,tier1,evidence_vs_confidence,PAIRED_POR_C,0.5,0.5,0.5,1
mistral7b_v03,locked,tier1,evidence_vs_confidence,PAIRED_HHR,1.0,1.0,1.0,1
mistral7b_v03,locked,tier1,evidence_vs_confidence,PAIRED_RSR,0.0,0.0,0.0,1
mistral7b_v03,locked,tier1,safety_vs_helpfulness,PAIRED_RETENTION,1.0,1.0,1.0,500
mistral7b_v03,locked,tier1,safety_vs_helpfulness,PAIRED_POR_C,0.5,0.5,0.5,500
mistral7b_v03,locked,tier1,safety_vs_helpfulness,PAIRED_HHR,1.0,1.0,1.0,500
mistral7b_v03,locked,tier1,safety_vs_helpfulness,PAIRED_RSR,0.0,0.0,0.0,500
mistral7b_v03,locked,tier1,substance_vs_format,PAIRED_RETENTION,0.694,0.654,0.734,500
mistral7b_v03,locked,tier1,substance_vs_format,PAIRED_POR_C,0.5,0.5,0.5,347
mistral7b_v03,locked,tier1,substance_vs_format,PAIRED_HHR,1.0,1.0,1.0,347
mistral7b_v03,locked,tier1,substance_vs_format,PAIRED_RSR,0.0,0.0,0.0,347
mistral7b_v03,locked,tier2_llmbar,instruction_following_vs_surface_quality,PAIRED_RETENTION,0.215,0.175,0.255,400
mistral7b_v03,locked,tier2_llmbar,instruction_following_vs_surface_quality,PAIRED_POR_C,0.4941860465116279,0.47674418604651164,0.5116279069767442,86
mistral7b_v03,locked,tier2_llmbar,instruction_following_vs_surface_quality,PAIRED_HHR,0.9651162790697675,0.9186046511627907,1.0,86
mistral7b_v03,locked,tier2_llmbar,instruction_following_vs_surface_quality,PAIRED_RSR,0.011627906976744186,0.0,0.03488372093023256,86
qwen25_3b,conflict_audit,tier1,citation_vs_informativeness,PAIRED_RETENTION,0.078,0.056,0.102,500
qwen25_3b,conflict_audit,tier1,citation_vs_informativeness,PAIRED_POR_C,0.5,0.5,0.5,39
qwen25_3b,conflict_audit,tier1,citation_vs_informativeness,PAIRED_HHR,1.0,1.0,1.0,39
qwen25_3b,conflict_audit,tier1,citation_vs_informativeness,PAIRED_RSR,0.0,0.0,0.0,39
qwen25_3b,conflict_audit,tier1,completeness_vs_concision,PAIRED_RETENTION,0.996,0.99,1.0,500
qwen25_3b,conflict_audit,tier1,completeness_vs_concision,PAIRED_POR_C,0.5,0.5,0.5,498
qwen25_3b,conflict_audit,tier1,completeness_vs_concision,PAIRED_HHR,1.0,1.0,1.0,498
qwen25_3b,conflict_audit,tier1,completeness_vs_concision,PAIRED_RSR,0.0,0.0,0.0,498
qwen25_3b,conflict_audit,tier1,correctness_vs_fluency,PAIRED_RETENTION,0.188,0.154,0.224,500
qwen25_3b,conflict_audit,tier1,correctness_vs_fluency,PAIRED_POR_C,0.5,0.5,0.5,94
qwen25_3b,conflict_audit,tier1,correctness_vs_fluency,PAIRED_HHR,1.0,1.0,1.0,94
qwen25_3b,conflict_audit,tier1,correctness_vs_fluency,PAIRED_RSR,0.0,0.0,0.0,94
qwen25_3b,conflict_audit,tier1,evidence_vs_confidence,PAIRED_RETENTION,0.772,0.736,0.808,500
qwen25_3b,conflict_audit,tier1,evidence_vs_confidence,PAIRED_POR_C,0.5,0.5,0.5,386
qwen25_3b,conflict_audit,tier1,evidence_vs_confidence,PAIRED_HHR,1.0,1.0,1.0,386
qwen25_3b,conflict_audit,tier1,evidence_vs_confidence,PAIRED_RSR,0.0,0.0,0.0,386
qwen25_3b,conflict_audit,tier1,safety_vs_helpfulness,PAIRED_RETENTION,1.0,1.0,1.0,500
qwen25_3b,conflict_audit,tier1,safety_vs_helpfulness,PAIRED_POR_C,0.5,0.5,0.5,500
qwen25_3b,conflict_audit,tier1,safety_vs_helpfulness,PAIRED_HHR,1.0,1.0,1.0,500
qwen25_3b,conflict_audit,tier1,safety_vs_helpfulness,PAIRED_RSR,0.0,0.0,0.0,500
qwen25_3b,conflict_audit,tier1,substance_vs_format,PAIRED_RETENTION,0.226,0.19,0.262,500
qwen25_3b,conflict_audit,tier1,substance_vs_format,PAIRED_POR_C,0.5,0.5,0.5,113
qwen25_3b,conflict_audit,tier1,substance_vs_format,PAIRED_HHR,1.0,1.0,1.0,113
qwen25_3b,conflict_audit,tier1,substance_vs_format,PAIRED_RSR,0.0,0.0,0.0,113
qwen25_3b,conflict_audit,tier2_llmbar,instruction_following_vs_surface_quality,PAIRED_RETENTION,0.29,0.245,0.335,400
qwen25_3b,conflict_audit,tier2_llmbar,instruction_following_vs_surface_quality,PAIRED_POR_C,0.5,0.5,0.5,116
qwen25_3b,conflict_audit,tier2_llmbar,instruction_following_vs_surface_quality,PAIRED_HHR,1.0,1.0,1.0,116
qwen25_3b,conflict_audit,tier2_llmbar,instruction_following_vs_surface_quality,PAIRED_RSR,0.0,0.0,0.0,116
qwen25_3b,context_forward,tier1,citation_vs_informativeness,PAIRED_RETENTION,0.732,0.676,0.784,250
qwen25_3b,context_forward,tier1,citation_vs_informativeness,PAIRED_POR_C,0.5,0.5,0.5,183
qwen25_3b,context_forward,tier1,citation_vs_informativeness,PAIRED_HHR,1.0,1.0,1.0,183
qwen25_3b,context_forward,tier1,citation_vs_informativeness,PAIRED_RSR,0.0,0.0,0.0,183
qwen25_3b,context_forward,tier1,completeness_vs_concision,PAIRED_RETENTION,1.0,1.0,1.0,250
qwen25_3b,context_forward,tier1,completeness_vs_concision,PAIRED_POR_C,0.5,0.5,0.5,250
qwen25_3b,context_forward,tier1,completeness_vs_concision,PAIRED_HHR,1.0,1.0,1.0,250
qwen25_3b,context_forward,tier1,completeness_vs_concision,PAIRED_RSR,0.0,0.0,0.0,250
qwen25_3b,context_forward,tier1,correctness_vs_fluency,PAIRED_RETENTION,0.524,0.464,0.588,250
qwen25_3b,context_forward,tier1,correctness_vs_fluency,PAIRED_POR_C,0.5,0.5,0.5,131
qwen25_3b,context_forward,tier1,correctness_vs_fluency,PAIRED_HHR,1.0,1.0,1.0,131
qwen25_3b,context_forward,tier1,correctness_vs_fluency,PAIRED_RSR,0.0,0.0,0.0,131
qwen25_3b,context_forward,tier1,evidence_vs_confidence,PAIRED_RETENTION,0.86,0.816,0.9,250
qwen25_3b,context_forward,tier1,evidence_vs_confidence,PAIRED_POR_C,0.5,0.5,0.5,215
qwen25_3b,context_forward,tier1,evidence_vs_confidence,PAIRED_HHR,1.0,1.0,1.0,215
qwen25_3b,context_forward,tier1,evidence_vs_confidence,PAIRED_RSR,0.0,0.0,0.0,215
qwen25_3b,context_forward,tier1,safety_vs_helpfulness,PAIRED_RETENTION,1.0,1.0,1.0,250
qwen25_3b,context_forward,tier1,safety_vs_helpfulness,PAIRED_POR_C,0.5,0.5,0.5,250
qwen25_3b,context_forward,tier1,safety_vs_helpfulness,PAIRED_HHR,1.0,1.0,1.0,250
qwen25_3b,context_forward,tier1,safety_vs_helpfulness,PAIRED_RSR,0.0,0.0,0.0,250
qwen25_3b,context_forward,tier1,substance_vs_format,PAIRED_RETENTION,0.928,0.896,0.956,250
qwen25_3b,context_forward,tier1,substance_vs_format,PAIRED_POR_C,0.5,0.5,0.5,232
qwen25_3b,context_forward,tier1,substance_vs_format,PAIRED_HHR,1.0,1.0,1.0,232
qwen25_3b,context_forward,tier1,substance_vs_format,PAIRED_RSR,0.0,0.0,0.0,232
qwen25_3b,context_forward,tier2_llmbar,instruction_following_vs_surface_quality,PAIRED_RETENTION,0.26,0.2,0.32,200
qwen25_3b,context_forward,tier2_llmbar,instruction_following_vs_surface_quality,PAIRED_POR_C,0.5,0.5,0.5,52
qwen25_3b,context_forward,tier2_llmbar,instruction_following_vs_surface_quality,PAIRED_HHR,1.0,1.0,1.0,52
qwen25_3b,context_forward,tier2_llmbar,instruction_following_vs_surface_quality,PAIRED_RSR,0.0,0.0,0.0,52
qwen25_3b,decomposed,tier1,citation_vs_informativeness,PAIRED_RETENTION,0.0,0.0,0.0,250
qwen25_3b,decomposed,tier1,citation_vs_informativeness,PAIRED_POR_C,,,,0
qwen25_3b,decomposed,tier1,citation_vs_informativeness,PAIRED_HHR,,,,0
qwen25_3b,decomposed,tier1,citation_vs_informativeness,PAIRED_RSR,,,,0
qwen25_3b,decomposed,tier1,completeness_vs_concision,PAIRED_RETENTION,0.036,0.016,0.06,250
qwen25_3b,decomposed,tier1,completeness_vs_concision,PAIRED_POR_C,0.5,0.5,0.5,9
qwen25_3b,decomposed,tier1,completeness_vs_concision,PAIRED_HHR,1.0,1.0,1.0,9
qwen25_3b,decomposed,tier1,completeness_vs_concision,PAIRED_RSR,0.0,0.0,0.0,9
qwen25_3b,decomposed,tier1,correctness_vs_fluency,PAIRED_RETENTION,0.34,0.28,0.4,250
qwen25_3b,decomposed,tier1,correctness_vs_fluency,PAIRED_POR_C,0.5529411764705883,0.5235294117647059,0.5882352941176471,85
qwen25_3b,decomposed,tier1,correctness_vs_fluency,PAIRED_HHR,0.8941176470588236,0.8235294117647058,0.9529411764705882,85
qwen25_3b,decomposed,tier1,correctness_vs_fluency,PAIRED_RSR,0.10588235294117647,0.047058823529411764,0.17647058823529413,85
qwen25_3b,decomposed,tier1,evidence_vs_confidence,PAIRED_RETENTION,0.856,0.808,0.896,250
qwen25_3b,decomposed,tier1,evidence_vs_confidence,PAIRED_POR_C,0.5,0.5,0.5,214
qwen25_3b,decomposed,tier1,evidence_vs_confidence,PAIRED_HHR,1.0,1.0,1.0,214
qwen25_3b,decomposed,tier1,evidence_vs_confidence,PAIRED_RSR,0.0,0.0,0.0,214
qwen25_3b,decomposed,tier1,safety_vs_helpfulness,PAIRED_RETENTION,1.0,1.0,1.0,250
qwen25_3b,decomposed,tier1,safety_vs_helpfulness,PAIRED_POR_C,0.5,0.5,0.5,250
qwen25_3b,decomposed,tier1,safety_vs_helpfulness,PAIRED_HHR,1.0,1.0,1.0,250
qwen25_3b,decomposed,tier1,safety_vs_helpfulness,PAIRED_RSR,0.0,0.0,0.0,250
qwen25_3b,decomposed,tier1,substance_vs_format,PAIRED_RETENTION,0.892,0.852,0.928,250
qwen25_3b,decomposed,tier1,substance_vs_format,PAIRED_POR_C,0.5044843049327354,0.5,0.5112107623318386,223
qwen25_3b,decomposed,tier1,substance_vs_format,PAIRED_HHR,0.9910313901345291,0.9775784753363229,1.0,223
qwen25_3b,decomposed,tier1,substance_vs_format,PAIRED_RSR,0.008968609865470852,0.0,0.02242152466367713,223
qwen25_3b,decomposed,tier2_llmbar,instruction_following_vs_surface_quality,PAIRED_RETENTION,0.2,0.145,0.26,200
qwen25_3b,decomposed,tier2_llmbar,instruction_following_vs_surface_quality,PAIRED_POR_C,0.5,0.5,0.5,40
qwen25_3b,decomposed,tier2_llmbar,instruction_following_vs_surface_quality,PAIRED_HHR,1.0,1.0,1.0,40
qwen25_3b,decomposed,tier2_llmbar,instruction_following_vs_surface_quality,PAIRED_RSR,0.0,0.0,0.0,40
qwen25_3b,direct,tier1,citation_vs_informativeness,PAIRED_RETENTION,0.0,0.0,0.0,500
qwen25_3b,direct,tier1,citation_vs_informativeness,PAIRED_POR_C,,,,0
qwen25_3b,direct,tier1,citation_vs_informativeness,PAIRED_HHR,,,,0
qwen25_3b,direct,tier1,citation_vs_informativeness,PAIRED_RSR,,,,0
qwen25_3b,direct,tier1,completeness_vs_concision,PAIRED_RETENTION,0.844,0.81,0.874,500
qwen25_3b,direct,tier1,completeness_vs_concision,PAIRED_POR_C,0.5,0.5,0.5,422
qwen25_3b,direct,tier1,completeness_vs_concision,PAIRED_HHR,1.0,1.0,1.0,422
qwen25_3b,direct,tier1,completeness_vs_concision,PAIRED_RSR,0.0,0.0,0.0,422
qwen25_3b,direct,tier1,correctness_vs_fluency,PAIRED_RETENTION,0.238,0.202,0.276,500
qwen25_3b,direct,tier1,correctness_vs_fluency,PAIRED_POR_C,0.5462184873949579,0.5210084033613446,0.5756302521008403,119
qwen25_3b,direct,tier1,correctness_vs_fluency,PAIRED_HHR,0.907563025210084,0.8487394957983193,0.957983193277311,119
qwen25_3b,direct,tier1,correctness_vs_fluency,PAIRED_RSR,0.09243697478991597,0.04201680672268908,0.15126050420168066,119
qwen25_3b,direct,tier1,evidence_vs_confidence,PAIRED_RETENTION,0.87,0.84,0.898,500
qwen25_3b,direct,tier1,evidence_vs_confidence,PAIRED_POR_C,0.5,0.5,0.5,435
qwen25_3b,direct,tier1,evidence_vs_confidence,PAIRED_HHR,1.0,1.0,1.0,435
qwen25_3b,direct,tier1,evidence_vs_confidence,PAIRED_RSR,0.0,0.0,0.0,435
qwen25_3b,direct,tier1,safety_vs_helpfulness,PAIRED_RETENTION,1.0,1.0,1.0,500
qwen25_3b,direct,tier1,safety_vs_helpfulness,PAIRED_POR_C,0.5,0.5,0.5,500
qwen25_3b,direct,tier1,safety_vs_helpfulness,PAIRED_HHR,1.0,1.0,1.0,500
qwen25_3b,direct,tier1,safety_vs_helpfulness,PAIRED_RSR,0.0,0.0,0.0,500
qwen25_3b,direct,tier1,substance_vs_format,PAIRED_RETENTION,0.692,0.652,0.732,500
qwen25_3b,direct,tier1,substance_vs_format,PAIRED_POR_C,0.5,0.5,0.5,346
qwen25_3b,direct,tier1,substance_vs_format,PAIRED_HHR,1.0,1.0,1.0,346
qwen25_3b,direct,tier1,substance_vs_format,PAIRED_RSR,0.0,0.0,0.0,346
qwen25_3b,direct,tier2_llmbar,instruction_following_vs_surface_quality,PAIRED_RETENTION,0.235,0.195,0.2775,400
qwen25_3b,direct,tier2_llmbar,instruction_following_vs_surface_quality,PAIRED_POR_C,0.48936170212765956,0.4734042553191489,0.5,94
qwen25_3b,direct,tier2_llmbar,instruction_following_vs_surface_quality,PAIRED_HHR,0.9787234042553191,0.9468085106382979,1.0,94
qwen25_3b,direct,tier2_llmbar,instruction_following_vs_surface_quality,PAIRED_RSR,0.0,0.0,0.0,94
qwen25_3b,locked,tier1,citation_vs_informativeness,PAIRED_RETENTION,0.47,0.428,0.514,500
qwen25_3b,locked,tier1,citation_vs_informativeness,PAIRED_POR_C,0.5,0.5,0.5,235
qwen25_3b,locked,tier1,citation_vs_informativeness,PAIRED_HHR,1.0,1.0,1.0,235
qwen25_3b,locked,tier1,citation_vs_informativeness,PAIRED_RSR,0.0,0.0,0.0,235
